Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf_0603_25V","SMD_0603[1608]",24.830000,46.725000,180.000000,top
"C2","0.1uf_0603_10V","SMD_0603[1608]",55.330000,64.750000,180.000000,top
"C3","10uf_0603_25V","SMD_0603[1608]",55.340000,63.020000,180.000000,top
"C4","0.1uf_0603_10V","SMD_0603[1608]",24.830000,45.140000,180.000000,top
"C5","10uf_0603_25V","SMD_0603[1608]",24.900000,62.420000,180.000000,top
"C6","0.1uf_0603_10V","SMD_0603[1608]",24.910000,64.120000,180.000000,top
"C7","0.01uf_0603_50V","SMD_0603[1608]",9.370000,76.740000,0.000000,top
"C8","0.01uf_0603_50V","SMD_0603[1608]",20.980000,76.590000,180.000000,top
"C9","10uf_0603_25V","SMD_0603[1608]",15.245000,25.892500,0.000000,top
"C10","0.1uf_0603_10V","SMD_0603[1608]",15.245000,27.492500,0.000000,top
"C11","10uf_0603_25V","SMD_0603[1608]",15.245000,29.092500,0.000000,top
"C12","0.1uf_0603_10V","SMD_0603[1608]",15.245000,30.717500,0.000000,top
"C13","0.1uf_0603_10V","SMD_0603[1608]",12.270000,29.092500,90.000000,top
"C14","2.2uf_0603_10V","SMD_0603[1608]",15.220000,24.292500,180.000000,top
"C15","1uf_4.3mm_50V_POL_LP","WE_4mm_cap",32.420000,25.440000,-90.000000,top
"C16","1uf_4.3mm_50V_POL_LP","WE_4mm_cap",53.800000,21.140000,180.000000,top
"C17","10uf_0603_25V","SMD_0603[1608]",45.470000,34.032000,90.000000,top
"C18","0.1uf_0603_10V","SMD_0603[1608]",47.180000,34.032000,90.000000,top
"C44","0.33uf_0603_25V","SMD_0603[1608]",76.020000,27.440000,-90.000000,top
"C46","10uf_0603_25V","SMD_0603[1608]",67.500000,27.450000,-90.000000,top
"FB1","FB_HZ0805","FB_HZ0805",61.200000,5.050000,-90.000000,top
"FB2","FB_HZ0805","FB_HZ0805",76.260000,4.990000,-90.000000,top
"Q1","FDMS4435BZ ","Power-56-8",74.380000,11.412500,180.000000,top
"Q2","FDMS0312S ","Power-56-8",63.070000,11.562500,180.000000,top
"R1","8.06M_0805","SMD_0805[2012]",49.975000,61.750000,180.000000,top
"R2","8.06M_0805","SMD_0805[2012]",61.680000,61.745000,0.000000,top
"R3","402K_0603","SMD_0603[1608]",49.965000,65.240000,0.000000,top
"R4","402K_0603","SMD_0603[1608]",61.685000,65.350000,180.000000,top
"R5","100K_0603","SMD_0603[1608]",61.695000,63.640000,0.000000,top
"R6","100K_0603","SMD_0603[1608]",61.675000,67.050000,180.000000,top
"R7","100K_0603","SMD_0603[1608]",49.975000,63.550000,180.000000,top
"R8","100K_0603","SMD_0603[1608]",49.965000,66.930000,0.000000,top
"R9","8.06M_0805","SMD_0805[2012]",30.725000,44.925000,0.000000,top
"R10","8.06M_0805","SMD_0805[2012]",18.150000,45.100000,180.000000,top
"R11","402K_0603","SMD_0603[1608]",30.725000,50.155000,180.000000,top
"R12","402K_0603","SMD_0603[1608]",18.140000,50.355000,0.000000,top
"R13","100K_0603","SMD_0603[1608]",30.725000,46.735000,0.000000,top
"R14","100K_0603","SMD_0603[1608]",30.725000,48.445000,180.000000,top
"R15","100K_0603","SMD_0603[1608]",18.140000,46.955000,180.000000,top
"R16","100K_0603","SMD_0603[1608]",18.140000,48.655000,0.000000,top
"R17","8.06M_0805","SMD_0805[2012]",19.050000,61.100000,180.000000,top
"R18","8.06M_0805","SMD_0805[2012]",30.450000,61.440000,0.000000,top
"R19","402K_0603","SMD_0603[1608]",19.040000,66.280000,0.000000,top
"R20","402K_0603","SMD_0603[1608]",30.450000,66.675000,180.000000,top
"R21","100K_0603","SMD_0603[1608]",19.040000,62.900000,180.000000,top
"R22","100K_0603","SMD_0603[1608]",19.040000,64.590000,0.000000,top
"R23","100K_0603","SMD_0603[1608]",30.440000,63.285000,0.000000,top
"R24","100K_0603","SMD_0603[1608]",30.450000,64.975000,180.000000,top
"R25","10K_0603_2","SMD_0603[1608]",9.370000,78.430000,180.000000,top
"R26","10K_0603","SMD_0603[1608]",58.110000,88.120000,-90.000000,top
"R27","10K_0603_2","SMD_0603[1608]",9.360000,80.120000,180.000000,top
"R28","10K_0603_2","SMD_0603[1608]",20.970000,79.980000,0.000000,top
"R29","10K_0603_2","SMD_0603[1608]",20.980000,78.280000,180.000000,top
"R30","0_0603","SMD_0603[1608]",13.120000,20.567500,0.000000,top
"U1","MCP3208","SOIC-16",40.800000,28.750000,0.000000,top
"U2","AK4432","TSSOP-16",9.370000,24.275000,0.000000,top
"U3","TLV9062","SOT23-8",55.350000,67.230000,0.000000,top
"U4","TLV9062","SOT23-8",24.850000,49.170000,0.000000,top
"U5","TLV9062","SOT23-8",24.850000,66.580000,0.000000,top
